universityId,universityGroupId,name,campusName,emblem,status,fileExists
"kyonggi-university-제2캠퍼","kyonggi-university-제2캠퍼","경기대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"konyang-university-제2캠퍼","konyang-university-제2캠퍼","건양대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"konyang-university-본교","konyang-university-본교","건양대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"konkuk-university-분교","konkuk-university-분교","건국대학교(글로컬) 분교","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gangseo-university-본교","gangseo-university-본교","강서대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kangnam-university-본교","kangnam-university-본교","강남대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"methodist-theological-university-본교","methodist-theological-university-본교","감리교신학대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"the-catholic-university-of-korea-제3캠퍼","the-catholic-university-of-korea-제3캠퍼","가톨릭대학교 제3캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"the-catholic-university-of-korea-제2캠퍼","the-catholic-university-of-korea-제2캠퍼","가톨릭대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"the-catholic-university-of-korea-본교","the-catholic-university-of-korea-본교","가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"catholic-kwandong-university-본교","catholic-kwandong-university-본교","가톨릭관동대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kaya-university-본교","kaya-university-본교","가야대학교(김해)","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kaya-university-제2캠퍼","kaya-university-제2캠퍼","가야대학교(고령) 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"mokpo-national-university-본교","mokpo-national-university-본교","국립목포대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kumoh-national-institute-of-technology-본교","kumoh-national-institute-of-technology-본교","국립금오공과대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kunsan-national-university-본교","kunsan-national-university-본교","국립군산대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kongju-national-university-본교","kongju-national-university-본교","국립공주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gyeongguk-national-university-본교","gyeongguk-national-university-본교","국립경국대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gangneung-wonju-national-university-제2캠퍼","gangneung-wonju-national-university-제2캠퍼","국립강릉원주대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gangneung-wonju-national-university-본교","gangneung-wonju-national-university-본교","국립강릉원주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kwangju-womens-university-본교","kwangju-womens-university-본교","광주여자대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gwangju-university-본교","gwangju-university-본교","광주대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gwangju-national-university-of-education-본교","gwangju-national-university-of-education-본교","광주교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gwangju-institute-of-science-and-technology-본교","gwangju-institute-of-science-and-technology-본교","광주과학기술원","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gwangju-catholic-university-본교","gwangju-catholic-university-본교","광주가톨릭대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kwangwoon-university-본교","kwangwoon-university-본교","광운대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kwangshin-university-본교","kwangshin-university-본교","광신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gongju-national-university-of-education-본교","gongju-national-university-of-education-본교","공주교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kosin-university-본교","kosin-university-본교","고신대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"korea-university-sejong-campus-분교","korea-university-sejong-campus-분교","고려대학교(세종) 분교","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"keimyung-university-본교","keimyung-university-본교","계명대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kyungil-university-본교","kyungil-university-본교","경일대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gyeongin-national-university-of-education-제2캠퍼","gyeongin-national-university-of-education-제2캠퍼","경인교육대학교 제2캠퍼","캠퍼스","assets/university-emblems/placeholder-emblem.svg","missing","true"
"gyeongin-national-university-of-education-본교","gyeongin-national-university-of-education-본교","경인교육대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kyungwoon-university-본교","kyungwoon-university-본교","경운대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"kyungsung-university-본교","kyungsung-university-본교","경성대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
"daegu-university-본교","daegu-university-본교","대구대학교","본교","assets/university-emblems/placeholder-emblem.svg","missing","true"
